Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
Warriors,Royals,Royals,7 wickets,Pune,"May 8, 2012",T20
Chargers,Kings XI,Kings XI,25 runs,Hyderabad (Deccan),"May 8, 2012",T20
Mum Indians,RCB,RCB,9 wickets,Mumbai,"May 9, 2012",T20
Chargers,Daredevils,Daredevils,9 wickets,Hyderabad (Deccan),"May 10, 2012",T20
Royals,Super Kings,Super Kings,4 wickets,Jaipur,"May 10, 2012",T20
Warriors,RCB,RCB,35 runs,Pune,"May 11, 2012",T20
KKR,Mum Indians,Mum Indians,27 runs,Kolkata,"May 12, 2012",T20
Super Kings,Daredevils,Super Kings,9 wickets,Chennai,"May 12, 2012",T20
Royals,Warriors,Royals,45 runs,Jaipur,"May 13, 2012",T20
Kings XI,Chargers,Kings XI,4 wickets,Mohali,"May 13, 2012",T20
RCB,Mum Indians,Mum Indians,5 wickets,Bengaluru,"May 14, 2012",T20
KKR,Super Kings,Super Kings,5 wickets,Kolkata,"May 14, 2012",T20
Daredevils,Kings XI,Daredevils,5 wickets,Delhi,"May 15, 2012",T20
Mum Indians,KKR,KKR,32 runs,Mumbai,"May 16, 2012",T20
Kings XI,Super Kings,Kings XI,6 wickets,Dharamsala,"May 17, 2012",T20
Daredevils,RCB,RCB,21 runs,Delhi,"May 17, 2012",T20
Chargers,Royals,Chargers,5 wickets,Hyderabad (Deccan),"May 18, 2012",T20
Kings XI,Daredevils,Daredevils,6 wickets,Dharamsala,"May 19, 2012",T20
Warriors,KKR,KKR,34 runs,Pune,"May 19, 2012",T20
Chargers,RCB,Chargers,9 runs,Hyderabad (Deccan),"May 20, 2012",T20
Royals,Mum Indians,Mum Indians,10 wickets,Jaipur,"May 20, 2012",T20
Daredevils,KKR,KKR,18 runs,Pune,"May 22, 2012",T20
Super Kings,Mum Indians,Super Kings,38 runs,Bengaluru,"May 23, 2012",T20
Daredevils,Super Kings,Super Kings,86 runs,Chennai,"May 25, 2012",T20
KKR,Super Kings,KKR,5 wickets,Chennai,"May 27, 2012",T20
